LS,permno
L,93130
L,91891
L,11754
L,91117
L,90833
L,89698
L,47888
L,75905
L,59467
L,11809
L,90272
L,76839
L,86489
L,90097
L,85349
L,85353
L,79336
L,12781
L,93141
L,61487
L,83602
L,91141
L,90856
L,84372
L,89419
L,39220
L,88988
L,84168
L,89204
L,20765
L,84052
L,90979
L,91507
L,44513
L,88590
L,80114
L,21020
L,88924
L,93435
L,87658
L,93323
L,79108
L,77087
L,60098
L,93418
L,64785
L,45655
L,93090
L,92646
L,82634
L,86720
L,84385
L,72996
L,88510
L,93400
L,85232
L,89781
L,90129
L,41929
L,91018
L,10182
L,10220
L,12348
L,79094
L,89900
L,87827
L,12080
L,76721
L,80439
L,85517
L,56063
L,81254
L,80303
L,81541
L,80951
L,81540
L,89269
L,91967
L,11081
L,60580
L,88379
L,28118
L,78186
L,90248
L,93369
L,25419
L,90199
L,81073
L,79037
L,79307
L,85516
L,79698
L,82668
L,64450
L,75605
L,12340
L,90868
L,81220
L,91103
L,25232
L,17279
L,12011
L,48653
L,91692
L,76218
L,80236
L,10874
L,92729
L,92588
L,76638
L,91461
L,83633
L,91624
L,81666
L,78981
L,90507
L,84561
L,87034
L,92302
L,10324
L,36003
L,92183
L,92758
L,78137
L,88853
L,77730
L,90591
L,89393
L,75646
L,11370
L,89715
L,14656
L,75285
L,80233
L,86547
L,89394
L,49905
L,21135
L,90893
L,75070
L,89941
L,91907
L,87236
L,81128
L,85401
L,92034
L,67838
L,76798
L,91371
L,75460
L,91041
L,83120
L,80679
L,63773
L,26084
L,27756
L,47379
L,80135
L,92195
L,90313
L,65875
L,86715
L,83558
L,12330
L,93433
L,80343
L,89387
L,90699
L,25081
L,82212
L,60186
L,91556
L,81696
L,85627
L,89208
L,89497
L,89471
L,40539
L,27983
L,10932
L,48531
L,89954
L,76149
L,84606
L,77668
L,76697
L,23182
L,50550
L,82643
L,83879
L,82504
L,76980
L,88841
L,89659
L,89920
L,24985
L,17929
L,86106
L,81774
L,80592
L,72304
L,20248
L,51263
L,90531
L,88475
L,82800
L,77501
L,45437
L,86034
L,81665
L,90083
L,47730
L,91113
L,92940
L,11174
L,67467
L,91666
L,90196
L,88331
L,84234
L,11587
L,30680
L,82266
L,86168
L,77897
L,85246
L,21371
L,47255
L,18649
L,90194
L,10501
L,23887
L,45241
L,89770
L,92177
L,48291
L,92400
L,79299
L,79864
L,21231
L,93247
L,77637
L,90734
L,44951
L,76671
L,90286
L,83671
L,10180
L,16678
L,61269
L,80210
L,43481
L,75573
L,48506
L,12026
L,78170
L,77862
L,47715
L,83862
L,78990
L,44601
L,76091
L,32870
L,25320
L,77043
L,55597
L,70228
L,85464
L,32054
L,91579
L,16600
L,79879
L,13056
L,90956
L,90776
L,83601
L,10866
L,90464
L,85914
L,41292
L,83304
L,92872
L,39571
L,91888
L,42550
L,34367
L,91032
L,19271
L,62033
L,76999
L,84788
L,85445
L,91024
L,54704
L,78008
L,79667
L,84516
L,93238
L,92530
L,52230
L,75578
L,92902
L,10025
L,75224
L,59774
L,79007
L,89399
L,64995
L,90493
L,12363
L,87426
L,37284
L,85176
L,90900
L,92655
L,90605
L,34032
L,91379
L,89548
L,92680
L,84042
L,66683
L,59628
L,92771
L,80128
L,92090
L,52716
L,82638
L,82759
L,77519
L,90988
L,79089
L,10032
L,46181
L,83365
L,91100
L,89456
L,92395
L,73219
L,89244
L,93428
S,86339
S,75100
S,83621
S,87364
S,77659
S,90319
S,83131
S,84588
S,90786
S,83554
S,92245
S,90600
S,92684
S,90092
S,79881
S,78875
S,91678
S,81670
S,92443
S,84007
S,77902
S,91452
S,91598
S,90277
S,21936
S,55212
S,91467
S,91615
S,91152
S,73681
S,50788
S,90747
S,89644
S,92750
S,87637
S,87394
S,75930
S,89006
S,89321
S,89289
S,90708
S,89793
S,93056
S,90467
S,24441
S,79678
S,87168
S,92614
S,92389
S,92519
S,78763
S,92215
S,90351
S,92331
S,90982
S,76478
S,75034
S,89003
S,92330
S,79519
S,85208
S,92987
S,24010
S,93174
S,84584
S,86322
S,86964
S,76624
S,91351
S,92229
S,12036
S,76565
S,14541
S,79841
S,10812
S,38658
S,87000
S,90037
S,89029
S,90805
S,89508
S,77338
S,90192
S,90179
S,10147
S,93349
S,28345
S,90824
S,91109
S,87184
S,90783
S,15560
S,90978
S,61138
S,88195
S,92310
S,90071
S,85731
S,92558
S,22517
S,66245
S,76847
S,90614
S,67193
S,90386
S,91186
S,12360
S,89824
S,76788
S,83414
S,79103
S,76586
S,85593
S,88284
S,93398
S,91275
S,62376
S,92038
S,42585
S,91815
S,91735
S,11599
S,88467
S,80864
S,89736
S,87299
S,81294
S,46886
S,85332
S,86196
S,89216
S,27633
S,76202
S,87054
S,44329
S,80987
S,80987
S,86525
S,61815
S,92050
S,90716
S,70500
S,46392
S,79859
S,72338
S,87242
S,18973
S,62092
S,83011
S,88989
S,78200
S,82717
S,93285
S,85753
S,42200
S,66852
S,86544
S,86111
S,92694
S,52708
S,92257
S,11132
S,46340
S,52898
S,50091
S,20415
S,89617
S,92601
S,18403
S,85770
S,88535
S,91395
S,87612
S,90505
S,92938
S,88857
S,77610
S,92682
S,85424
S,85647
S,83469
S,45225
S,80204
S,66325
S,35124
S,27334
S,91959
S,80165
S,87013
S,87492
S,63714
S,24328
S,91516
S,86996
S,80719
S,90200
S,92555
S,90303
S,90803
S,89971
S,26650
S,93111
S,84062
S,89757
S,22374
S,82546
S,89572
S,90441
S,92097
S,89913
S,87261
S,12073
S,87343
S,60468
S,73809
S,79628
S,21726
S,18650
S,89453
S,83908
S,87179
S,78889
S,85972
S,88281
S,83699
S,82486
S,10137
S,84032
S,86868
S,91413
S,83969
S,92197
S,85792
S,51457
S,75316
S,85789
S,78054
S,13901
S,11154
S,93080
S,65541
S,91402
S,21573
S,89753
S,91021
S,82924
S,18033
S,60986
S,12049
S,70704
S,23660
S,90067
S,92243
S,77530
S,78977
S,89455
S,81184
S,92294
S,11731
S,14816
S,39917
S,92621
S,91063
S,84348
S,89642
S,89915
S,88863
S,86881
S,22293
S,32540
S,93071
S,65509
S,77281
S,76722
S,90910
S,33823
S,11999
S,83939
S,83143
S,80543
S,93125
S,11382
S,11707
S,60599
S,90444
S,82281
S,69032
S,90807
S,88193
S,80415
S,81292
S,92924
S,69796
S,92988
S,50017
S,79857
S,76135
S,15457
S,77175
S,34746
S,10259
S,27959
S,65752
S,91814
S,91267
S,59396
S,10853
S,88991
S,91977
S,91614
S,90732
S,76266
S,76138
S,89533
S,78009
S,22840
S,32651
S,10443
S,85522
S,93387
S,81776
S,46463
S,93098
S,83565
S,93372
S,79588
S,92102
S,92300
S,91391
S,92469
S,22779
S,76215
S,86150
S,92448
S,85432
S,87084
S,79586
S,13936
S,67847
S,92402
S,59089
