LS,permno
L,93130
L,12456
L,27618
L,89394
L,80303
L,90833
L,79108
L,89419
L,39220
L,90734
L,10874
L,47379
L,90966
L,49905
L,91692
L,60580
L,12682
L,77117
L,90097
L,91141
L,75285
L,92872
L,76644
L,90776
L,79307
L,84010
L,59467
L,66683
L,80114
L,86489
L,90742
L,80625
L,84385
L,81173
L,78137
L,20765
L,88590
L,78981
L,79094
L,86547
L,76839
L,91355
L,25419
L,13049
L,13019
L,12894
L,88988
L,84129
L,86720
L,12080
L,93056
L,16678
L,89900
L,76721
L,90272
L,84606
L,80032
L,90535
L,89204
L,90188
L,89393
L,77292
L,12913
L,75905
L,55597
L,80439
L,81254
L,82541
L,30680
L,90868
L,11081
L,48725
L,89269
L,77668
L,56945
L,10182
L,77043
L,90199
L,90129
L,61487
L,12927
L,89781
L,52230
L,85246
L,84372
L,88379
L,92729
L,86128
L,91624
L,72980
L,35917
L,12410
L,75070
L,80054
L,81540
L,12049
L,12907
L,84375
L,89447
L,31238
L,75182
L,75460
L,80912
L,12879
L,86157
L,85445
L,91432
L,19393
L,89387
L,87227
L,93141
L,81128
L,88908
L,51086
L,89497
L,12340
L,76135
L,91195
L,90248
L,90893
L,83671
L,12915
L,89244
L,10866
L,90952
L,89954
L,83365
L,91891
L,21178
L,17279
L,11664
L,87160
L,79299
L,76671
L,47466
L,63715
L,91666
L,79698
L,48653
L,14656
L,89920
L,80951
L,92758
L,92597
L,84168
L,76798
L,91907
L,90083
L,12089
L,12872
L,83879
L,81220
L,85913
L,82212
L,62033
L,12400
L,77217
L,82634
L,78829
L,87067
L,77519
L,79336
L,36003
L,29050
L,23819
L,12476
L,92924
L,26084
L,85059
L,23916
L,12922
L,91507
L,91041
L,21776
L,40539
L,75224
L,77501
L,61269
L,93400
L,85517
L,91556
L,90194
L,85627
L,89471
L,83799
L,47896
L,74406
L,46181
L,76697
L,27422
L,11803
L,45655
L,12521
L,83304
L,80592
L,80343
L,35685
L,93317
L,34367
L,67467
L,59045
L,93079
L,10032
L,84546
L,11809
L,12783
L,87034
L,89399
L,91365
L,93355
L,81666
L,12905
L,42286
L,87771
L,78841
L,11174
L,83551
L,85789
L,82643
L,89971
L,88853
L,92188
L,93047
L,77669
L,88924
L,10659
L,14526
L,79785
L,76613
L,16548
L,81696
L,80795
L,92207
L,60186
L,89141
L,91018
L,89323
L,12781
L,79909
L,93101
L,86810
L,58975
L,92378
L,81621
L,91103
L,92902
L,77530
L,89456
L,92198
L,87070
L,88661
L,91117
L,91040
L,82575
L,92400
L,12696
L,88597
L,10220
L,90993
L,12579
L,92096
L,75215
L,37807
L,90591
L,91905
L,19561
L,64450
L,84788
L,78990
L,73219
L,43481
L,79249
L,89167
L,12348
L,47730
L,92446
L,90493
L,75509
L,53866
L,77785
L,41292
L,10501
L,92502
L,90605
L,90275
L,92177
L,23182
L,87476
L,86534
L,77730
L,79248
L,76711
L,84389
L,60628
L,93369
L,34746
L,41080
L,81481
L,88319
L,84234
L,77354
L,61241
L,91675
L,82642
L,85464
L,91578
L,78915
L,36468
L,36898
L,25232
L,25129
L,82859
L,28118
S,89611
S,12797
S,89040
S,92331
S,83291
S,87184
S,90071
S,79444
S,85511
S,89230
S,93264
S,91452
S,89841
S,44768
S,90067
S,92777
S,89866
S,93392
S,81541
S,92984
S,88646
S,84403
S,92421
S,12660
S,85738
S,83642
S,90752
S,10225
S,69796
S,12356
S,11208
S,85419
S,87000
S,92684
S,11599
S,91899
S,12355
S,89965
S,82162
S,87168
S,78763
S,82261
S,84584
S,84624
S,12641
S,79628
S,76565
S,90992
S,12373
S,92243
S,89455
S,89793
S,66852
S,91598
S,12140
S,81925
S,92303
S,93352
S,12570
S,76638
S,24272
S,84827
S,85994
S,90421
S,75860
S,84060
S,36397
S,12392
S,85675
S,92621
S,35107
S,63830
S,89973
S,80223
S,84281
S,92402
S,82513
S,87299
S,81294
S,84226
S,89655
S,90423
S,86899
S,13688
S,27430
S,88810
S,91665
S,12374
S,87717
S,90791
S,87612
S,35238
S,11403
S,85753
S,91977
S,77595
S,86382
S,69032
S,87499
S,90183
S,85860
S,92640
S,93246
S,67847
S,47205
S,84373
S,51457
S,33137
S,90037
S,12026
S,80864
S,76624
S,83815
S,93111
S,22779
S,90085
S,12389
S,13936
S,77271
S,46042
S,92478
S,93372
S,93174
S,80957
S,23712
S,77481
S,45306
S,78875
S,76219
S,89922
S,55001
S,12908
S,82279
S,75034
S,91402
S,92987
S,28484
S,91976
S,11618
S,84808
S,87394
S,86111
S,85792
S,12650
S,59248
S,62376
S,76586
S,27959
S,59089
S,80361
S,92469
S,12051
S,90374
S,88991
S,84348
S,67193
S,76788
S,23660
S,23473
S,90080
S,15560
S,90110
S,66114
S,91358
S,11348
S,89913
S,21936
S,80804
S,90243
S,70500
S,12189
S,89502
S,77281
S,15318
S,83699
S,79519
S,66325
S,83969
S,87952
S,85047
S,87179
S,53613
S,78054
