LS,permno
S,93356
S,87261
S,76591
S,91501
S,90409
S,12882
S,79795
S,17929
S,86196
S,90441
S,84032
S,80179
S,12742
S,91514
S,83856
S,11382
S,90507
S,90600
S,93150
S,10259
S,82526
S,91547
S,76148
S,85496
S,85424
S,52337
S,84737
S,50606
S,58675
S,89297
S,14816
S,13901
S,93068
S,73681
S,48961
S,91366
S,80204
S,79859
S,89572
S,79103
S,11999
S,77327
S,91575
S,90204
S,70616
S,25590
S,15069
S,84723
S,75326
S,10421
S,22752
S,77205
S,80918
S,91032
S,79588
S,88177
S,91152
S,91403
S,75605
S,90711
S,92195
S,89915
S,21573
S,91491
S,85972
S,13928
S,89508
S,87343
S,10443
S,11154
S,76202
S,93234
S,88331
S,86339
S,11638
S,80575
S,22293
S,92448
S,90078
S,92310
S,78186
S,89262
S,12477
S,90215
S,88863
S,81577
S,76515
S,86092
S,58683
S,92300
S,93387
S,12473
S,63132
S,86881
S,10290
S,58318
S,92205
S,85280
S,84588
S,82759
S,32651
S,23887
S,82486
S,80719
S,70228
S,63714
S,90803
S,86150
S,93285
S,90989
S,85432
S,91391
S,25304
S,91966
S,22840
S,12914
S,44951
S,80415
S,83832
S,19828
S,76215
S,91670
S,90444
S,85908
S,18403
S,10667
S,76138
S,91109
S,91678
S,86820
