LS,permno
L,14868
L,92773
L,79839
L,83541
L,16600
L,86799
L,23182
L,89004
L,83272
L,85353
L,91113
L,79866
L,75222
L,10874
L,11285
L,87430
L,47888
L,47642
S,92303
S,68292
S,21207
S,83642
S,90978
S,41355
S,44274
S,85994
S,53613
S,32636
S,77157
S,60442
S,80575
S,18403
S,89965
S,78763
S,87168
S,86745
S,91452
S,85972
S,92869
S,76391
S,79039
S,80320
S,91662
S,78139
S,91837
S,80804
S,42140
S,75831
S,86189
S,86881
S,85926
S,84519
S,61399
S,85931
S,19350
S,92558
S,81912
S,79906
S,89913
S,65509
S,51457
S,92941
S,87078
S,32054
S,10421
S,11397
S,76565
S,92587
S,10812
S,85880
S,62376
S,85208
S,73809
S,92172
S,79103
S,83976
S,86964
S,24272
S,79678
S,86926
S,78804
S,77340
S,89617
S,90080
S,29103
S,93068
S,37807
S,83233
S,90377
S,89793
S,82598
S,80987
S,72338
S,38658
S,89753
S,90285
S,20415
S,86250
S,93085
S,85647
S,91598
S,86709
S,77606
S,85280
S,10147
S,91464
S,49154
S,91815
S,88284
S,79758
S,87056
S,27334
S,88857
S,13936
S,86593
S,86080
S,83699
S,93071
S,76732
S,65541
S,89644
S,38093
S,62092
S,17778
S,83131
S,91392
S,83469
S,91358
S,85496
S,83815
S,86878
S,75603
S,90533
S,86759
S,68830
S,79881
S,90600
S,92987
S,90037
S,77528
S,84792
S,86979
S,64282
S,86958
S,60943
S,92050
S,11703
S,77610
S,38659
S,91152
S,88991
S,87777
S,82699
S,39693
S,87000
S,91737
S,86820
S,91531
S,78200
S,86868
S,84280
S,79915
S,87086
S,60098
S,90805
S,11132
S,52337
S,93080
S,43350
S,88335
S,85860
S,78987
S,16678
S,86288
S,89572
S,86996
S,85857
S,91977
S,86111
S,79785
S,56223
S,87299
S,91275
S,91899
S,77045
S,76138
S,80864
S,88195
S,75101
S,66181
S,90132
S,24328
S,87343
S,87343
S,87013
S,88945
S,87179
S,59248
S,91498
S,88439
S,92530
S,10933
S,90085
S,89915
S,92300
S,89636
S,85753
S,12073
S,89971
S,51625
S,73681
S,13901
S,76847
S,11786
S,91267
S,83969
S,78869
S,90438
S,60506
S,14816
S,83756
S,18033
S,66325
S,15720
S,66114
S,82515
S,91824
S,81577
S,11992
S,65306
S,82599
S,89686
S,50091
S,90664
S,91262
S,76202
S,10259
S,82281
S,79628
S,88992
S,91370
S,82546
S,75100
S,84827
S,90955
S,84226
S,92992
S,92934
S,87054
S,90444
S,92694
S,88343
S,83143
S,11691
S,21186
S,78054
S,81292
S,45225
S,76624
S,90067
S,23916
S,85792
S,91282
S,59089
S,75733
S,14198
S,89048
S,10443
S,72005
S,91186
S,79859
S,51377
S,22840
S,90078
S,71176
S,75326
S,83435
S,79588
S,79841
S,18973
S,89262
S,92188
S,37234
S,91983
S,21936
S,91109
S,79903
S,79212
S,76215
S,86323
S,18570
S,78875
S,50017
S,23660
S,91128
S,22293
S,63773
S,81925
S,15318
S,90044
S,91822
S,91976
S,91434
S,27959
S,90220
S,76980
S,92010
S,35124
S,92421
S,90747
S,90803
S,89455
S,91428
S,89230
S,87496
S,12650
S,67847
S,91033
S,83908
S,91207
S,83011
S,91391
S,75858
S,32540
S,78963
S,86150
S,90914
S,83928
S,44943
S,81776
S,92227
