LS,permno
L,19561
L,90272
L,75905
L,90833
L,90946
L,25099
L,90605
L,47379
L,93015
L,91041
L,81190
L,89394
L,84010
L,90966
L,39220
L,86196
L,89715
L,92854
L,79922
L,84516
L,11809
L,72494
L,79108
L,85627
L,79094
L,50550
L,76798
L,88590
L,90538
L,21178
L,80279
L,90889
L,92696
L,92935
L,93087
L,56945
L,91578
L,92758
L,12781
L,25419
L,14526
L,14656
L,84168
L,91657
L,92902
L,83883
L,82859
L,17279
L,90464
L,84372
L,86720
L,91024
L,89900
L,81254
L,50876
L,85246
L,59408
L,88924
L,89941
L,92729
L,11081
L,90535
L,77366
L,90196
L,76722
L,77087
L,75182
L,86489
L,12758
L,60628
L,81073
L,14795
L,60186
L,83834
L,85401
L,84606
L,28118
L,76207
L,59045
L,85232
L,81540
L,36003
L,10182
L,15069
L,91018
L,88841
L,89497
L,85744
L,48653
L,86547
L,18649
L,81702
L,88379
L,80439
L,89781
L,10890
L,88615
L,82486
L,78664
L,91461
L,11478
L,86956
L,10501
L,93079
L,89269
L,82634
L,89540
L,90248
L,84385
L,89946
L,82471
L,73219
L,21573
L,85314
L,48274
L,76839
L,89105
L,91103
L,81696
L,89757
L,40539
L,10866
L,85517
L,82212
L,91021
L,91556
L,83671
L,91517
L,90493
L,76711
L,92090
L,89901
L,32651
L,89204
L,78981
L,90736
L,77519
L,80135
L,76721
L,93074
L,47466
L,88475
L,27983
L,84234
L,77292
L,81220
L,72980
L,81666
L,83030
L,93047
L,83152
L,77175
L,78990
L,64450
L,49905
L,26084
L,89954
L,90303
L,89258
L,84007
L,92944
L,12008
L,76856
L,87034
L,75070
L,75070
L,88597
L,93049
L,78881
L,68857
L,91624
L,35503
L,89393
L,89141
L,92177
L,58975
L,80128
L,83283
L,92378
L,47730
L,11174
L,10025
L,80592
L,84788
L,85914
L,82643
L,91357
L,85913
L,87432
L,52716
L,21020
L,89387
L,80054
L,60580
L,76671
L,89456
L,88574
L,85459
L,48531
L,90822
L,47715
L,62148
L,86725
L,79299
L,36898
L,49373
L,24221
L,86993
L,19271
L,48347
L,91615
L,86042
L,87789
L,10032
L,34746
L,83602
L,82238
L,42550
L,78170
L,45306
L,90896
L,50948
L,62033
L,25081
L,92400
L,88367
L,91906
L,91114
L,21231
L,92424
L,60599
L,92716
L,89447
L,90900
L,28564
L,89399
L,79698
L,65402
L,54114
L,38790
L,83601
L,28484
L,83664
L,88908
L,84375
L,92302
L,11343
L,89800
L,92771
L,88853
L,23887
L,76684
L,88159
L,82287
L,81665
L,10225
L,78915
L,40416
L,90199
L,63715
L,11896
L,75573
L,90699
L,91507
L,47255
L,80303
L,29050
L,27430
L,27422
L,77730
L,52230
L,23819
L,85731
L,90734
L,46923
L,43481
L,80557
L,90194
L,23835
L,85427
L,12503
L,82298
L,89290
L,75215
L,91630
L,79007
L,93048
L,77637
L,79249
L,64785
L,78876
L,25320
L,75460
L,17929
L,81128
