LS,permno
S,84656
S,32651
S,90803
S,91493
S,89297
S,92310
S,91966
S,47205
S,91665
S,90507
S,92227
S,91594
S,13928
S,13604
S,67847
S,22840
S,90600
S,76148
