LS,permno
L,15069
L,90164
L,88379
L,76798
L,89394
L,59045
L,89900
L,79299
L,84010
L,81696
L,89399
L,11809
L,76331
L,76697
L,83233
L,80303
L,87255
L,25419
L,91041
L,75182
L,48653
L,10182
L,90272
L,91461
L,27422
L,82642
L,40416
L,75905
L,29050
L,77668
L,59467
L,90822
L,82859
L,82281
L,22840
L,84385
L,91832
L,64785
L,92646
L,77300
L,90833
L,91735
L,25232
L,90979
L,12758
L,47466
L,27562
L,89497
L,91814
L,91462
L,86720
L,90196
L,88545
L,90672
L,17279
L,81073
L,64450
L,89204
L,81702
L,11081
L,86102
L,90535
L,92729
L,84168
L,88574
L,35124
L,90868
L,80210
L,89269
L,14656
L,12781
L,89323
L,76721
L,76839
L,47379
L,89781
L,75526
L,25099
L,92530
L,78981
L,79878
L,52936
L,14526
L,45751
L,89393
L,90605
L,91018
L,23819
L,66683
L,16678
L,88924
L,88853
L,16505
L,36898
L,90194
L,92177
L,85406
L,54114
L,47715
L,83861
L,92424
L,47255
L,92782
L,90287
L,40539
L,60186
L,82800
L,11174
L,86168
L,91624
L,86106
L,16126
L,79698
L,90966
L,10032
L,91114
L,88475
L,90591
L,77669
L,90900
L,76644
L,81128
L,75070
L,92588
L,49373
L,82634
L,92306
L,83030
L,80557
L,90232
L,76619
L,79094
L,83244
L,89419
L,80128
L,62033
L,52396
L,75224
L,82575
L,81190
L,83452
L,42550
L,75215
L,85232
L,88590
L,84438
L,68196
L,81220
L,88510
L,89141
L,81540
L,90736
L,30147
L,78664
L,89105
L,58975
L,32540
L,81665
L,76037
L,89004
L,78876
L,36468
L,50623
L,55597
L,83671
L,80928
L,69586
L,92716
L,72980
L,91302
L,81925
L,91836
L,76123
L,28564
L,82694
L,85418
L,92400
L,78841
L,78881
L,90874
L,92523
L,79249
L,91507
L,10866
L,90893
L,84563
L,30680
L,90993
L,76279
L,87633
L,79467
L,23182
L,15553
L,27618
L,87034
L,86157
L,11285
L,85246
L,12503
L,86305
L,75509
L,89443
L,91515
L,52230
L,76684
L,89800
L,84749
L,87539
L,11628
L,19561
L,91165
L,83148
L,89904
L,91675
L,28118
L,90980
L,77236
L,10659
L,77519
L,78213
L,69199
L,87179
L,75285
L,88031
L,82717
L,91556
L,59176
L,89891
L,18729
L,83602
L,85931
L,80585
L,90807
L,13928
L,82298
L,91282
L,92192
L,60580
L,79089
L,10501
L,87952
L,84776
L,91983
L,17929
L,88820
L,92188
L,89954
L,57665
L,72996
L,31500
L,92302
L,81666
L,91432
L,84788
L,79866
L,10516
L,49488
L,89387
L,39917
L,91907
L,92709
L,61138
L,81061
L,89888
L,42286
L,36003
L,35263
L,87426
L,86026
L,85886
L,76240
L,80007
L,88661
L,83601
L,76856
L,91915
L,89958
L,87067
S,77178
S,91883
S,92602
S,22293
S,79668
S,89626
S,17005
S,75100
S,81294
S,24053
S,76215
S,77971
S,92034
S,14227
S,84281
S,76095
S,87812
S,44943
S,80179
S,90550
S,18033
S,92777
S,83799
S,80204
S,43290
S,80072
S,43772
S,15202
S,82546
S,23975
S,83928
S,89876
S,83720
S,90037
S,89753
S,92195
S,87267
S,45225
S,86382
S,77462
S,91071
S,88313
S,86979
S,85724
S,92227
S,92544
S,87717
S,26650
S,89653
S,21928
S,64311
S,90012
S,91143
S,79785
S,17750
S,24097
S,83939
S,62034
S,91613
S,17961
S,49154
S,38659
S,91977
S,18973
S,89369
S,66325
S,11132
S,61399
S,27334
S,57509
S,92774
S,59089
S,11850
S,80415
S,51925
S,83815
S,75591
S,92750
S,90080
S,78987
S,11644
S,32678
S,81577
S,86590
S,89841
S,50906
S,92466
S,92635
S,20415
S,84584
S,58683
S,89915
S,64135
S,53859
S,90601
S,70332
S,44329
S,86820
S,91067
S,92443
S,87056
S,10147
S,85571
S,91151
S,66181
S,90454
S,10933
S,90940
S,85482
S,15667
S,92555
S,88792
S,88992
S,10143
S,90031
S,11404
S,44274
S,90132
S,92050
S,66253
S,91032
S,87000
S,88857
S,83143
S,91976
S,54818
S,87612
S,76148
S,91971
S,78977
S,87696
S,86111
S,88750
S,73681
S,34032
S,10225
S,59248
S,76128
S,85710
S,10258
S,89262
S,75101
S,88152
S,87777
S,92648
S,89793
S,72338
S,91959
S,42906
S,92558
S,90444
S,91743
S,81292
S,90661
S,90637
S,91824
S,90600
S,77610
S,38906
S,80563
S,84624
S,89792
S,30402
S,92464
S,90067
S,92722
S,92092
S,49322
S,87499
S,91152
S,77659
S,38093
S,88615
S,91575
S,11056
S,91965
S,80804
S,78049
S,90944
S,83111
S,76202
S,57007
S,77785
S,64486
S,82599
S,89572
S,23297
S,26382
S,87789
S,79586
S,89801
S,89426
S,44506
S,76100
S,90081
S,10913
S,14816
S,80575
S,37807
S,43449
S,79444
S,63714
S,79103
S,87054
S,92587
S,79628
S,20053
S,83551
S,76149
S,23712
S,50091
S,77418
S,31238
S,60943
S,87167
S,92021
S,52898
S,79323
S,76732
S,80112
S,23660
S,60986
S,90220
S,88446
S,85860
S,10693
S,12067
S,76722
S,78875
S,92773
S,47205
S,79678
S,92451
S,21936
S,79859
S,11018
S,27959
S,90780
S,83541
S,88424
S,85426
S,84519
S,90803
S,11731
S,92339
S,87292
S,83469
S,91434
S,83879
S,82699
S,85034
S,32054
S,89031
S,89048
S,34746
S,90209
S,91391
S,85792
S,84827
S,78869
S,87447
S,79588
S,77120
S,23887
S,92694
S,92694
S,67847
S,81774
S,76980
S,44951
S,79502
S,89617
S,90494
S,86958
S,88945
S,86150
S,79839
S,91234
